Name,rating,time_min
Avengers: Endgame,8.5,181
Joker,8.6,122
Chernobyl,9.5,330
Captain Marvel,6.9,123
Once Upon a Time... in Hollywood,7.8,161
Spider-Man: Far from Home,7.6,129
Star Wars: Episode IX - The Rise of Skywalker,6.9,142
John Wick: Chapter 3 - Parabellum,7.5,131
Shazam!,7.1,132
The Irishman,8.1,209
Alita: Battle Angel,7.3,122
Glass,6.7,129
Us,6.9,116
The Witcher,8.5,474
Aladdin,7,128
The Lion King,7,118
It Chapter Two,6.7,169
Toy Story 4,7.9,100
El Camino: A Breaking Bad Movie,7.4,122
Parasite,8.6,132
Fast & Furious Presents: Hobbs & Shaw,6.5,137
Ad Astra,6.7,123
X-Men: Dark Phoenix,5.8,113
Pokémon Detective Pikachu,6.6,104
Marriage Story,8.1,137
Knives Out,8.1,130
Godzilla: King of the Monsters,6.1,132
Midsommar,7.2,147
Triple Frontier,6.5,125
Rocketman,7.4,121
How to Train Your Dragon: The Hidden World,7.5,104
Men in Black: International,5.6,114
Ford v Ferrari,8.3,152
6 Underground,6.1,128
Yesterday,6.9,116
Pet Sematary,5.8,101
Long Shot,6.9,125
Polar,6.3,118
Hellboy,5.2,120
"Extremely Wicked, Shockingly Evil and Vile",6.6,110
The Highwaymen,6.9,132
When They See Us,9,296
I Am Mother,6.8,113
The King,7.3,140
Booksmart,7.2,102
Jumanji: The Next Level,7,123
Dumbo,6.3,112
Frozen II,7.2,103
Terminator: Dark Fate,6.5,128
Doctor Sleep,7.5,152
Fighting with My Family,7.1,108
Velvet Buzzsaw,5.7,113
Angel Has Fallen,6.4,121
Cold Pursuit,6.2,119
The Lego Movie 2: The Second Part,6.6,107
Happy Death Day 2U,6.2,100
Annabelle Comes Home,5.9,106
Gemini Man,5.7,117
Marighella,3,155
Hustlers,6.4,110
The Lighthouse,7.9,109
Captive State,6,109
The Two Popes,7.7,125
Scary Stories to Tell in the Dark,6.2,108
Maleficent: Mistress of Evil,6.8,119
Always Be My Maybe,6.8,101
Anna,6.6,119
Uri: The Surgical Strike,8.4,138
Jojo Rabbit,8,108
Shaft,6.4,111
The Dead Don't Die,5.5,104
The Dirt,7,107
In the Tall Grass,5.4,101
Dolemite Is My Name,7.3,118
In the Shadow of the Moon,6.2,115
Serenity,5.3,106
Five Feet Apart,7.2,116
Gully Boy,8.2,153
Downton Abbey,7.5,122
Pain and Glory,7.7,113
Uncut Gems,8,135
Leaving Neverland,7,240
After,5.4,105
The Wandering Earth,6,125
Kabir Singh,7.2,173
The Farewell,7.7,100
The Professor and the Madman,7.3,124
Tolkien,6.8,112
Our Planet,9.3,403
Cats,2.8,110
Last Christmas,6.6,103
Conversations with a Killer: The Ted Bundy Tapes,7.8,236
Bharat,5.4,150
Little Women,8.3,135
The Red Sea Diving Resort,6.5,129
Charlie's Angels,4.1,118
Midway,6.9,138
Late Night,6.5,102
Badla,7.9,118
The Boy Who Harnessed the Wind,7.6,113
The Art of Self-Defense,6.7,104
What Men Want,5.2,117
Wine Country,5.4,103
Super 30,8.1,154
Article 15,8.2,130
The Report,7.2,119
Deadwood: The Movie,7.5,110
The Great Hack,7,114
War,6.6,154
Dora and the Lost City of Gold,6,102
Chhichhore,8.1,143
Saaho,5.3,170
A Beautiful Day in the Neighborhood,7.7,109
Student of the Year 2,2.5,146
The Art of Racing in the Rain,7.5,109
Tall Girl,5.3,101
Don't F**k with Cats: Hunting an Internet Killer,8.2,187
The Kid Who Would Be King,6,120
Judy,7,118
The Aftermath,6.3,108
A Dog's Journey,7.4,109
Official Secrets,7.3,112
Kesari,7.4,150
The Aeronauts,6.6,100
Blinded by the Light,6.9,118
Unplanned,5.8,109
Portrait of a Lady on Fire,8.3,121
Togo,8.2,113
Money Trap,6,121
Kalank,3.7,166
The Wolf's Call,7,115
1917,8.6,119
Bonding,7.2,107
The Intruder,5.5,102
Motherless Brooklyn,7.1,144
Bombshell,6.7,109
The Last Summer,5.5,109
Noelle,6.3,100
Earthquake Bird,5.9,107
Brittany Runs a Marathon,6.8,104
Mission Mangal,6.5,130
Bigil,7.1,179
The Kitchen,5.3,102
Little,5.4,109
The Goldfinch,6.2,149
"Where'd You Go, Bernadette",6.5,109
Manikarnika: The Queen of Jhansi,6.4,148
Otherhood,6,100
Bacurau,7.9,131
The Last Black Man in San Francisco,7.4,121
Lady and the Tramp,6.3,103
Dream Girl,7.2,132
3 from Hell,5.6,115
Housefull 4,3.4,145
Petta,7.3,171
Richard Jewell,7.7,131
Batla House,7.3,146
The Edge of Democracy,7.4,121
Luka Chuppi,6.3,126
"Oh, Ramona!",4.9,109
Miss Bala,5.7,104
The Balkan Line,6.7,130
The Tashkent Files,7.9,134
The Inventor: Out for Blood in Silicon Valley,7.1,119
Dabangg 3,3.9,160
De De Pyaar De,6.6,135
Lucifer,7.5,175
The Accidental Prime Minister,6.1,112
Viswasam,6.7,153
Asuran,8.7,141
Section 375,8.2,124
The Informer,6.5,113
Light of My Life,6.6,119
Breakthrough,6.2,116
The Good Liar,6.6,109
The Devil Next Door,7.6,229
Good Newwz,7.7,134
Diego Maradona,7.7,130
The Best of Enemies,7,133
Kaithi,8.6,145
The Souvenir,6.5,120
Sye Raa Narasimha Reddy,7.6,167
Super Deluxe,8.4,176
Game of Thrones: The Last Watch,7.2,114
Queen & Slim,7,132
Monos,7.3,102
The Golden Glove,6.7,115
Total Dhamaal,4.3,130
American Factory,7.6,115
Weathering with You,7.8,114
Homecoming: A Film by Beyoncé,7.4,137
The Kid,5.9,100
Luce,6.8,109
Harriet,6.3,125
PM Narendra Modi,3.3,136
Nerkonda Paarvai,8.3,157
The Blue Elephant 2,8.6,130
Kumbalangi Nights,8.6,135
Maharshi,7.3,176
Jersey,8.6,157
The Room,6,100
Game Over,7.1,102
Black and Blue,5.9,108
Sorry We Missed You,7.8,101
Spies in Disguise,6.8,102
Danger Close,6.9,118
Romeo Akbar Walter,6.5,141
Little Baby,9,105
