Name,rating,time_min
Stories of the Dead - Die Farm,3.9,107
Motichoor Chaknachoor,5.9,150
KD,9.4,123
After,5.4,105
The Ruthless,6.3,111
Dragon Quest: Your Story,4.3,103
Pelican Blood,5.9,121
The Friend,7.5,124
Kuthoosi,5.4,134
Ne Zha,7.7,110
The Rodriguez and the Beyond,4.3,116
Gemini Man,5.7,117
Into the Labyrinth,6.2,130
Bijoya,7.2,145
Bibaho Obhijaan,3.9,117
Doorbeen,5.7,126
Çok Güzel Hareketler 2.Kusak,6.6,120
MBF: Man's Best Friend,4.6,129
Gantumoote,8.3,115
Jojo Rabbit,8,108
Uyut,7.4,147
Hostel Daze,9,159
The Sacrifice,6.2,135
Eurovision Song Contest Tel Aviv 2019: Second Semi-Final,7.2,135
The Inventor: Out for Blood in Silicon Valley,7.1,119
Happy Sardar,6.3,153
Doraemon: Nobita's Chronicle of the Moon Exploration,6.7,111
 The Last Drive-In with Joe Bob Briggs,9.3,133
Sweater,7.3,118
Vinaya Vidheya Rama,3.3,146
Bye,6.5,111
WWE Stomping Grounds,6.3,197
Motherless Brooklyn,7.1,144
NXT UK TakeOver: Cardiff,8.2,181
Aman Reis Duymasin,5.6,100
The Trigger,6.7,100
Poliorkia,7.5,101
The Faceless Man,5.1,106
Invisible Heroes,8,282
Amar,5.4,132
Petta,7.3,171
Shesh Theke Shuru,4.7,140
Metallica & San Francisco Symphony - S&M2,8.8,150
Gay Chorus Deep South,7,100
The Journalist,6.4,113
Head Over Heels 3,5.2,104
The Directive,6.3,113
Ashfall,6.9,130
All Elite Wrestling: All Out,8.3,180
5th of July,3.8,100
A Beautiful Day in the Neighborhood,7.7,109
House Arrest,5.6,104
Operation Cobra,3.6,126
The Dirty War on the National Health Service,7.6,106
Hitsville: The Making of Motown,8,112
The Panti Sisters,7,108
Ratnakar,6.9,116
Super Duper,6.3,118
Evim,7.6,120
Made in Abyss: Journey's Dawn,7.1,139
The Translators,6.7,105
Boi,4.8,110
Die Goldfische,6.6,111
 WWE Raw,6,180
American Criminal,7.6,100
Laal Kaptaan,7.3,155
 Blood & Treasure,7.5,120
Blank,6.1,107
Tristeza e Alegria na Vida das Girafas,7.7,109
18am Padi,6.2,160
Munda Faridkotia,5.9,131
Ittymaani: Made in China,5,158
Underdog,5.7,116
The Great Indian Escape,8.5,117
Schattenmoor,4.1,102
The Highwaymen,6.9,132
Gaddalakonda Ganesh,6.9,130
Family History,8.1,125
Little Baby,9,105
Bornoporichoy: A Grammar Of Death,5.1,122
Isa Pa with Feelings,7.8,102
NGK,6,148
Prassthanam,5.8,141
Pet Sematary,5.8,101
Gipsy Queen,7.4,117
Castle in the Ground,7.3,105
Gutterbug,7.8,101
Woodstock,7.6,106
Porinju Mariyam Jose,7,148
Nashibvaan,7.3,128
The Wild Goose Lake,6.9,113
Güzelligin Portresi,6.9,127
The Lego Movie 2: The Second Part,6.6,107
The Intruder,5.5,102
The Humorist,6.6,100
Janamaithri,6.4,122
Ulta,9.6,123
1917,8.6,119
Full Count,5.6,110
Tutta un'altra vita,5.1,103
